                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5396,                 2.0418,                 2.0609,                0.50147,                0.54616,                0.54458,                0.32972,                 1.3752,                 1.7112,                 1.9512,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.5093,                 1.9694,                 2.0312,                0.47886,                0.51751,                0.51415,                0.31191,                 1.3756,                 1.7327,                 1.9656,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.5186,                 1.9268,                 2.0379,                 0.5266,                0.58093,                0.59076,                0.36696,                 1.2955,                 1.6371,                 1.9016,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.4714,                 2.0082,                 2.0079,                0.59472,                0.55095,                0.60864,                0.37562,                 1.3665,                 1.5449,                 1.9321,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.4977,                 1.9293,                 1.9946,                0.52366,                0.57841,                0.57199,                0.36511,                 1.3085,                 1.5945,                 1.8977,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.5256,                 1.9369,                 2.0295,                0.57171,                0.59753,                0.62397,                0.38888,                 1.2964,                 1.6458,                 1.8913,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.4659,                 1.8855,                 1.9804,                0.51209,                0.52081,                0.53992,                0.33556,                 1.3698,                 1.6887,                 1.9542,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.4638,                 1.8954,                 1.9789,                0.55517,                 0.6024,                0.62049,                 0.3963,                 1.3124,                  1.503,                 1.8759,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.4804,                 1.8726,                 1.9913,                0.42594,                 0.5038,                0.54952,                0.34291,                 1.3223,                 1.7141,                 1.8833,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.4439,                 1.8793,                 1.9644,                0.52775,                0.59755,                0.58873,                0.36683,                 1.3065,                 1.5419,                 1.9011,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.4653,                 1.8711,                 1.9545,                0.57596,                0.60393,                0.63203,                0.40512,                 1.2475,                 1.4518,                 1.8406,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.4592,                 1.8628,                 1.9997,                0.53146,                0.62089,                0.63193,                0.40522,                 1.2571,                 1.5191,                 1.8563,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.4195,                 1.7841,                 1.9493,                0.64426,                0.61679,                0.65776,                0.42065,                 1.2706,                 1.4257,                 1.8652,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.4273,                 1.8114,                 1.9482,                 0.5944,                0.60484,                0.65418,                 0.4146,                  1.228,                 1.4306,                  1.834,             0.00045107,             0.00045107,             0.00045107
                     63,                  1.412,                 1.7694,                 1.9127,                0.68068,                0.60621,                0.68541,                0.44246,                 1.2312,                 1.3781,                 1.8036,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.4159,                 1.7348,                  1.906,                0.62196,                  0.584,                0.65706,                0.42537,                 1.2235,                 1.4681,                 1.8331,             0.00042907,             0.00042907,             0.00042907
                     65,                  1.419,                 1.7432,                 1.9435,                0.62869,                0.61428,                0.67327,                0.43507,                 1.2415,                 1.4366,                   1.83,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.3849,                 1.7206,                  1.895,                0.63075,                0.63401,                0.68559,                0.45202,                 1.2021,                 1.3696,                 1.7844,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.3809,                 1.7067,                 1.8949,                0.68806,                0.63605,                0.69421,                 0.4618,                 1.2021,                 1.3224,                  1.786,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.4136,                  1.759,                 1.9276,                0.60458,                0.62198,                0.66433,                0.43627,                 1.2021,                 1.4059,                 1.7862,             0.00038507,             0.00038507,             0.00038507
